method,url_template,classification,verification,query_keys,parameter_expression,source,line,column
GET,/acct/bu.do?m=add,excluded_action_or_ambiguous,not_probed,m,t,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,302726
POST,/acct/bu.do?m=add,excluded_action_or_ambiguous,not_probed,m,n,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,313816
POST,/acct/role.do?m=addRoleRightRe,excluded_action_or_ambiguous,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/7.c15730a1.chunk.js,1,68425
GET,/acct/role.do?m=addShareUserRe,excluded_action_or_ambiguous,not_probed,m,n,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/7.c15730a1.chunk.js,1,50237
POST,/auth/refresh,excluded_action_or_ambiguous,not_probed,,{refresh_token:a},https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,70814
POST,/basedata/initParams?m=updateCommonFunctions,excluded_action_or_ambiguous,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,304824
POST,/basedata/initParams?m=updateUserSetting,excluded_action_or_ambiguous,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,79231
UNKNOWN,/basedata/initParams?m=updateUserSetting,excluded_action_or_ambiguous,not_probed,m,{cashflowSimpleExchange:parent.SYSTEM.cashflowSimpleExchange},https://vip4-kj.kdzwy.com/js/dist/cashFlowSheet.js?ver=202609151511,1,13387
POST,/bs/assist.do?m=delete&type=voucherTempType,excluded_action_or_ambiguous,not_probed,"m,type",e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,263210
POST,/bs/assist.do?m=save,excluded_action_or_ambiguous,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,263078
